username,posts,followers,following
juin66,249,13453,352
vaneszs.h,1013,71279,1239
sunny.xjh,83,3092,246
gail_boj,258,11373,265
kikilzt,204,5291,589
jiayunxp,168,2651,969
ginichang,207,5207,843
rustyy_sheyyy,424,5576,915
mai_zhiqiii,107,1338,697
pistashio_,438,2299,1155
ohyushi,601,2096,1280
alyssapyf,84,1801,436
yiyangx1sheep,33,1851,785
iamhermankeh,464,1874,797
orhkayken_,25,753,503
zetongteoh,67,922,137
zhaisiming,287,7442,290
haothiannn,22,1249,587
tylertennn,100,1977,544
zane_lim,91,2532,862
bryaa.n,12,1244,508
_okjared,40,1208,613
wen_kang_,265,10265,655
iamjoel.low,501,1331,1073
