source,shared_from,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,post_id,url
Seedly,,2019-09-11 15:35:40,How do the higher income ceilings and NEW Enhanced CPF Housing Grant affect homebuyers? 🤔 Read more to find out...,5,5,,,,,,1,1185409088313790,/story.php?story_fbid=1185409088313790&id=460639650790741
Seedly,,2019-09-11 11:27:42,The numbers for the September 2019 BTO launches in Punggol and Tampines are out!  Here’s a step-by-step guide for someone applying for their first HDB BTO.,24,23,,,1,,,1,1185299121658120,/story.php?story_fbid=1185299121658120&id=460639650790741
Seedly,,2019-09-11 08:00:01,"Current take-home salary: $2,598 Target savings: $100,000 How to do it?",32,28,3,1,,,,2,1184039328450766,/story.php?story_fbid=1184039328450766&id=460639650790741
Seedly,,2019-09-10 18:00:01,Choose the CHEAPEST SIM Only Mobile Plan in less than 10 seconds! Singapore's first SIM Only Comparison allows you to compare 13 telcos and more than 30 plans to pick the best plan for you!,13,10,1,1,,1,,1,1184751731712859,/story.php?story_fbid=1184751731712859&id=460639650790741
Seedly,,2019-09-10 17:56:08,13 Telcos and more than 30 plans. What if we can compare them in less than 10 seconds?,72,71,,1,,,,9,1184756991712333,/story.php?story_fbid=1184756991712333&id=460639650790741
Seedly,,2019-09-10 13:36:28,PSA: StashAway has introduced it's first Singapore-Focused Income Portfolio! Here's a quick summary of it.,22,21,,1,,,,2,1184646488390050,/story.php?story_fbid=1184646488390050&id=460639650790741
Seedly,,2019-09-10 12:03:04,"Know of any polyglots around you?🗺 Time to pick up a foreign language yourself! Being multi-lingual lets you work abroad, travel with ease and meet international friends, amongst many other possibilities!",30,29,,1,,,,2,1184606371727395,/story.php?story_fbid=1184606371727395&id=460639650790741
Seedly,,2019-09-10 08:00:01,Fun Fact: People lie about their current salary at interviews anyway.,5,5,,,,,,,1184038715117494,/story.php?story_fbid=1184038715117494&id=460639650790741
Seedly,,2019-09-09 18:24:32,Do you know your baseline expenses as a household even if you don't head out for meals or to meet your friends?  You should!,74,54,5,,3,12,,11,1184065578448141,/story.php?story_fbid=1184065578448141&id=460639650790741
Seedly,,2019-09-09 18:16:37,"If you are also planning for a big purchase (Wedding, Renovation or Baby), anywhere between $10k and $40k or more, you should definitely consider this simple, no-frills Miles guide.  Here's how you can spend smartly to maximise your credit card miles to score a two-way Business trip from Singapore to New Zealand for a couple! P.S We spent the whole weekend researching on this so you won't have to!",33,29,2,1,,1,,6,1184061868448512,/story.php?story_fbid=1184061868448512&id=460639650790741
Seedly,,2019-09-09 12:25:00,"Here's an insurance guide for freelancers in Singapore, so that they can get paid even when they’re feeling under the weather. 😷",23,22,,,1,,,1,1183919918462707,/story.php?story_fbid=1183919918462707&id=460639650790741
Seedly,,2019-09-06 21:00:02,EDUCATION: Which should I go for? Business vs IT?,,,,,,,,1,1178993638955335,/story.php?story_fbid=1178993638955335&id=460639650790741
Seedly,,2019-09-08 12:00:00,"Wait what, money can really buy you happiness?  The wise The Woke Salaryman shares how!",7,7,,,,,,1,1183099348544764,/story.php?story_fbid=1183099348544764&id=460639650790741
Seedly,,2019-09-07 15:58:12,"We're excited to share that Seedly is the official Media partner and QnA platform at the Summit Of Alternative Retail investments (SOAR) organised by CoAssets Fintech, which features thought-leaders and industry experts​​. (for alternative investments) Jim Rogers, the keynote speaker, co-founded the Quantum Fund, a global-investment partnership. During the next 10 years, the portfolio gained 4200%, while the S&P rose less than 50%. He will be investigating a variety of issues and opportunities of different investment vehicles amidst an economy of geopolitical tension and cyclical downturn.​ Limited 50 FREE tickets for our community members This event is exclusively organised by CoAssets Pte Ltd (CAPL) for its qualified investors. Seats are limited to 50 for the Seedly community! To ballot for a ticket, be sure to: 1) Create a CoAssets account with promocode S33DLY19 at http://bit.ly/soarnewuser 2) Complete your 6-step KYC/AML investor qualification process before 25 Sept 2019, 1800 hours. Date and Time: Sat, Oct 5 2019 at 2pm Location: Four Seasons Hotel Singapore",5,5,,,,,,,1182499745271391,/story.php?story_fbid=1182499745271391&id=460639650790741
Seedly,,2019-09-07 12:00:01,"Niche spaces for everyone, from freelancers and startups to creatives and families! 👪",6,6,,,,,,1,1182357185285647,/story.php?story_fbid=1182357185285647&id=460639650790741
Seedly,,2019-09-04 21:00:01,<PROPERTY WEDNESDAY> 4 unsuccessful BTO applications? What can you do?,,,,,,,,1,1178986052289427,/story.php?story_fbid=1178986052289427&id=460639650790741
Seedly,,2019-09-06 18:26:47,What is YOUR dream?,103,92,9,,1,1,,6,1181837672004265,/story.php?story_fbid=1181837672004265&id=460639650790741
Seedly,,2019-09-06 18:24:19,PSA: the year-end online shopping season is upon us. Here's what to look out for during the 9.9 sales! 🤩,28,28,,,,,,1,1181836322004400,/story.php?story_fbid=1181836322004400&id=460639650790741
Seedly,,2019-09-06 16:16:11,We were happy to host the The MileLion community meetup yesterday in our office :)  Get exclusive invites via email to ALL our other VIP meetups by being active on our online Community at https://seedly.sg/questions Invites will be sent out to all Level 5 and above community members (https://seedly.sg/community/levels-and-badges),6,5,,,,,1,1,1181778318676867,/story.php?story_fbid=1181778318676867&id=460639650790741
Seedly,,2019-09-06 10:56:01,Stay in school kids. Just got your first paycheck and don't know what to do? We gotchu fam: http://bit.ly/2HRK6Vk,6,4,2,,,,,1,1181622482025784,/story.php?story_fbid=1181622482025784&id=460639650790741
Seedly,,2019-09-05 21:00:01,Have you seen any of these ads on your social media?,1,,,,1,,,1,1178991378955561,/story.php?story_fbid=1178991378955561&id=460639650790741
