,content
question,Shopping Lifestyle Asked by Richy DavidAsked on 28 May 2019How many popular websites or brands for fashion and beauty do you know of?3 answersAnswerBump1
0,Answers (3)Sort By Most UpvoteMost UpvoteMost Recent
1,"Junus EuTop Contributor (Sep)Level 8. WizardAnswered on 28 May 2019FASHIONH&M
Zalora
Nike
Forever21
Net-a-Porter
ASOS
FashionNova 
Mango
Victoria's Secret
Bershka
Uniqlo
Shopbop
The Outnet
Amazon
.
.
.
BEAUTYAmazon
Sephora
Toofaced
MAC
Nordstrom
Too Faced
.
.
.Basically too many.0 comments2"
2,"Sarah Chan, Business Administration at NUSLevel 6. MasterAnswered on 29 May 2019Hey there! Here are some of my favourites:FashionLove Bonito, Hollyhoque, The Tinsel Rack, Zalora, ASOS, Pomelo, Ezbuy, Shopee, Taobao, StylenandaBeautySephora, Tarte, Kat Von D, Jeffree Star, Kylie Cosmetics, Too Faced, 3CE, Laneige, Mamonde, Innisfree, Fresh, Benefit, Anastatia Beverly HillsAnd yup! Highly recommend using Shopback to gain some cashback on your hauls.0 comments1"
3,"Cindy Junovica, Community Manager at ShopbackLevel 3. WonderkidUpdated on 28 May 2019Hello! There's a lot actually! HeheFor Fashion: ZALORA, ASOS, Reebonz, Cotton On, Pomelo, Charles & Keith, Mr Porter/ Net-a-poter, Farfetch, ShopbopFor Beauty: VANIDAY, Sephora, lookfantastic, AltheaThat's all I can think of haha, and btw, you can get Cashback when you click through ShopBack too! https://www.shopback.sg/0 comments1"
