,content
question,"Lifestyle Asked by AnonymousAsked on 09 Aug 2019How can I budget for university and spend within my limits? What should I take note of?The university semester is starting next week and I am trying to plan my finances and budget for spending for food, transport, hygiene, study materials, gifts/ support (e.g. tickets for performance). I would really appreciate advice on how else can I manage my money better in the coming term!1 answerAnswerBump0"
0,Answers (1)Sort By Most UpvoteMost UpvoteMost Recent
1,"Gabriel Tham, Tag Team Member at Kenichi Tag TeamLevel 8. WizardAnswered on 10 Aug 2019Less bubble tea, less starbucks? General things to take note is to keep spending low. Looks like you already know the areas to budget. So just try to keep the expenses low.0 comments0"
