,content
question,"Retirement Lifestyle Property Asked by AnonymousAsked on 03 May 2019I’m a 40-year old single with two cats while paying off housing loan. While my cats are slightly expensive, they make me happy and want to continue owning cats even after retirement. Should I keep this cats or focus on paying off my loan?2 answersAnswerBump0"
0,Answers (2)Sort By Most UpvoteMost UpvoteMost Recent
1,"Junus EuTop Contributor (Sep)Level 8. WizardAnswered on 12 May 2019Is it an either or situation? If yes, then it would definitely be paying off the housing loan. After all, the cats gotta have a place to stay in!Alternatively, you can look at seeing where else you can cut expenses to finance the two cats that make you happy :)0 comments1"
2,"Lok Yang TengLevel 6. MasterAnswered on 08 May 2019This a really specific question. I would assume the two cats have a significant role in your life. Considering your options, ideally, you do not necessarily have to choose either or.If you are able to live comfortably whilst supporting the cats and housing loan, you can keep your status quo. However if you're intending to retire soon or unable to work or that you'll have difficulty paying back the loan in the future, you may have to forgo one of them.0 comments0"
