,content
question,"Investments REITs Asked by AnonymousAsked on 21 Apr 2019Which REIT should i buy into to get exposure to India & China, in the Industrial, Commercial or Logistical segment?2 answersAnswerBump1"
0,Answers (2)Sort By Most UpvoteMost UpvoteMost Recent
1,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 22 Apr 2019Don't think there is any one reit that covers both India and China.For exposure to China, besides what Gabriel has mentioned below for Mapletree NAC which focus on commercial and some retail, can consider Mapletree Logistics Trust as well for exposure to some industrial / logistics properties in China.0 comments0"
2,"Gabriel Tham, Kenichi Tag Team Member at Tag TeamLevel 8. WizardAnswered on 22 Apr 2019There are a few REITs in SG that come to mind:Mapletree NAC Tr EC World ReitNon-reit:
Ascendas-iTrust0 comments0"
