,content
question,"Credit Card Asked by AnonymousAsked on 02 May 2018How can I efficiently pay of my credit card debts? I’m a fresh grad, 6 months into my first job, average pay. And I’ve already accumulated $3k worth of debts that I can’t pay. Should I cancel my credit card? ?15 answersAnswerBump0"
0,Answers (15)Sort By Most UpvoteMost UpvoteMost Recent
1,Chen QijianLevel 3. WonderkidAnswered on 10 Sep 2018Dude... if you have average pay then at least paying off those 3k should be easy.​And its apparent you dont have control over your spending so... harsh words from me - Cancel those cards until you have a better grasp of yourself0 comments4
2,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 16 Sep 2018Cancer the cc first. This will turn off the leak from your income. Use Excel list down all your monthly spending , all cost and income. This will allow you to know where your $ goes to. Reduce your other non mandatory expenses such as restaurant , reduce cigarettes cost if you smoke, skip grab and take all public transport. If you have no contract with Telco then switch to a no sim lower monthly subscription plan. Reduce daily food expenses. Doing all the above will allow you to squeeze out at least $100 to $200. Use this to repay your 3k faster. Do part-time job such as delivery for the food apps (foodpanda, honest bee etc) or any other part time. With the extra income , it can help reduce your 3k faster. All in all doing the above will help repay your 3k debts within a year or even faster like 6 months , depends on how desperate you're willing to do to quickly repay the debts. ​All the best ! Debts free soon ! 😃👍0 comments2"
3,"Gabriel ThamLevel 8. WizardAnswered on 03 May 2018Reduce expenses if possible.Direct more of your pay into repaying the debt.If you cannot resist the credit card temptation, you can cancel it and get a debit card instead.DO NOT borrow money to pay this debt. Borrowing more to pay another debt is just a vicious cycle.If you really into trouble and need professional help to solve the debts, visit https://www.abs.org.sg/consumer-banking/consumers/debt-consolidation-plan​I assume this debt is credit card debt, do your best to pay it all off asap. Because credit card debt incurs and compound interest extremely fast and can drown a person in even more debt.​​0 comments2"
4,"Kenichi Xi, nᴉʍ oʇ dǝnᴉʇsǝd 不能说的秘密 at Tag Team with Gabriel ThamLevel 6. MasterAnswered on 21 Sep 2018Short Answer 
Yes. Cancel your credit card and use a debit card instead if you are really into saving with spending when the debit card offers cash back.Making money as you spend is better then paying more when you spend due to late payment or interest from credit card debt.$3k is still a manageable sum so is better to clear it asap and work towards savings.You need savings to propel toward your future and not just striking or rich.Hope my reply helps.If you feel this reply have Quality, please upvote and check other Quality Reply.https://seedly.sg/profile/a-kenichi-xiThank you.0 comments1"
5,"Nicholas ChanLevel 5. GeniusAnswered on 16 Sep 2018The moment u get your salary, take 50% of your salary & pay down your credit card 1st, then live on the rest. U can also look out for debt consolidation plans that have lower interest rates than credit cards' 24%pa.0 comments1"
6,"Jay Liu, Diploma in Accountancy  at KHEALevel 6. MasterAnswered on 16 Sep 2018Cancel your credit. Work part time jobs on weekends. Clear your debt ASAP. Never use a credit card again and just use a debit card. 0 comments1"
7,Good Day Every DayLevel 6. MasterAnswered on 16 Sep 2018Curb your spending habits. Undergo financial  counselling if you really have difficulty curbing your spending habits. Set a credit card limit of $1000 to limit your spending. You need not cancel your credit card if you could control your impulses. Think before you spend. 0 comments1
8,"Serene TohLevel 5. GeniusAnswered on 20 Sep 2018First off, read the budgeting articles in seedly, and set up your spending budgetfor now avoid using credit card (lock it at home) until you learn how to control your spending.make sure you are using the current account with the best interest rate (every penny counts here)set a target monthly amount to pay back the loan.consider how to get extra cash, e.g. sell off any unwanted items on carousell, give tuition, etc​most efficient way is to live an austere life for a short period to clear the debt, then you can start to relax...a bit. If you are getting $2000 - 2500, I would target to clear the debt within a year, extremely doable, less than 6 months if your really stingy on yourself, packed lunch, no cabs, etc.. (please do not plan for holiday, or sign up for any grooming / gym packages until after you pay back your debt) Chinese saying, chang tong  bu ru duan tong. Short term pain better than Long term painbasically clear your debt before you start seriously saving. The interest for the debt is way higher than what you are getting for your savings.and think on the bright side. If you can target $X per month for the debt, and get use to living this way. That's the extra savings you can get for retirement & investment after you clear your debt.​This is a bad example, but if your parents are well off, can consider getting a loan off them for this credit card loan, but have to be discipline to pay them off monthly at a smaller interest then what the bank is charging. You need to agree with them the monthly amount and how long you'll take to pay them back (This is purely to lower the interest charge). Key Word, LOAN, INTEREST, PAY THEM BACK0 comments0"
