,content
question,Lifestyle Asked by Kenneth LouAsked on 27 Dec 2018What goes up but doesn’t come down?Seedly Trivia: tell us your funniest answer here. Winning (most upvoted answer) will get their answer printed on our upcoming swag collection for 2019!10 answersAnswerBump1
0,Answers (10)Sort By Most UpvoteMost UpvoteMost Recent
1,"Leong Wen Fong, Community Lead at SeedlyLevel 6. MasterUpdated on 07 Jun 2019GST 2 comments7"
2,Leong Wen Fong27 Dec 2018Ministers' pay [I know we can't print this though :')]HC Tang30 Dec 2018haha.. I couldn't think of any ..this is a good one .. 
3,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardUpdated on 07 Jun 2019Your CPF withdrawal age. *haha2 comments5"
4,Ck Chai27 Dec 2018FRS too!!! HC Tang30 Dec 2018ikr... sia.... 
5,Lok Yang TengLevel 6. MasterAnswered on 27 Dec 2018Age0 comments2
6,Gabriel LeeLevel 6. MasterAnswered on 27 Dec 2018Cost of living?0 comments1
7,"Ck ChaiLevel 4. ProdigyUpdated on 27 Dec 2018Age! But with technology and people taking more care of their looks, many looked deceivingly younger (reduced age), hahahaha.....Aging population is probably more appropriate! ;P0 comments1"
8,"Jeff Yeo,   amateur Social contributor  at School of social sharingLevel 6. MasterAnswered on 14 Jan 2019income Tax0 comments0"
9,"HC Tang, Financial Enthusiast, Budgeting at The SocietyLevel 8. WizardAnswered on 30 Dec 2018Reader of this post ! :P 0 comments0"
10,"Jonathan Chia Guangrong, Fund Manager at JCG FundLevel 6. MasterAnswered on 30 Dec 2018Calendar years 0 comments0"
11,Yong Kah HweeLevel 6. MasterUpdated on 07 Jun 2019OUR SALARY!!! (fingers crossed)1 comment0
12,"Ck Chai31 Dec 2018hahaha, not true for all people... some people have been having salary freeze over the years while some may suffer pay cut for different reasons to keep their job."
13,"Nicholes Wong, Diploma in Business Management at Nanyang PolytechnicLevel 6. MasterUpdated on 07 Jun 2019My weight :|2 comments0"
14,"Leong Wen Fong27 Dec 2018LOL me too bro, me tooHC Tang30 Dec 2018No no no .. we want it to go down ... to a safe moderate level! :)"
