,content
question,Insurance Asked by AnonymousAsked on 14 Jun 2019How do you turn down a friend who is trying to sell you an insurance product?I have a friend who I’ve known since Army days and he has joined an agency for a year after Uni. Met up with him over coffee and he’a been trying to get me to switch. How do i turn him down as i have no intention to switch.25 answersAnswerBumped3
0,Answers (25)Sort By Most UpvoteMost UpvoteMost Recent
1,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomUpdated on 17 Jun 2019Get him to go through all the pros and cons to switching. Most of the time, you'll be losing out on cancelling and re purchasing a new insurance policy.However, if he really puts in the work and you'll be better off with the new policy, then why not consider. But before you commit, ask a 3rd party to analyse his pros and cons listed and see if its valid.1 comment9"
2,"Kenneth Lou17 Jun 2019DeleteEditYeah i think maybe at the end of the day, can just get more perspectives on your current financial situation!"
3,"Huang Yixuan, Product Designer at SomewhereLevel 6. MasterUpdated on 21 Jun 2019I understand how you feel!! Happened to me last year also. Just started working and my friend (okay actually not really close but we hang around in a group sometimes) asked me out to talk about insurance and I felt bad to say no. But only afterwards I realised he didn't actually take the time to talk to me to understand my needs, but only just generically tried to sell me a whole life insurance. And when the insurance underwriters rejected my application due to my exisiting health conditions, he tried to push me to get an endowment plan instead. Now I just ignore him when he texts me cause he was just too pushy and I don't think he actually cared bout my welfare.I think when you realise that your friend is using the ""friend card"" to guilt trip you into buying insurance for him, you need to decide if he is really your friend and if he is somebody you want to keep in your life. These things can show their true colours. Hope you manage to siam this!3 comments8"
4,"See all 3 comments Huang Yixuan21 Jun 2019Thank You!Angie Puan21 Jun 2019Wow, sorry your 'friend' didn't try to understand your needs and welfare.. I've had my fare share with such but I've met some good ones too and since the products are generally similar (varies according to your personal needs), I got it from a close friend who wasn't pushy at all. Hope you find a good one to help manage your health and wealth! :)"
5,"Samuel ChinLevel 3. WonderkidUpdated on 21 Jun 2019If you really are not interested, be honest and open with him that you don’t want to discuss about it. If he appreciates the friendship I’m sure he will understand.
If you‘re curious and don’t mind listening, let him know too, that you’re just knowing more. See what he has to offer and make sure he doesn’t sugar coat the whole one with only benefits.2 comments6"
6,"Edward Boon Sun Shee21 Jun 2019Yup i stand by honesty as the best policy. Because if you really don’t want, no one can force you to do so. Keeping the friendship is more important than spoiling the relationship. Because at the end of the day, there’s so many people out there needing help for their financial portfolio so reject politely lor if you really not keen to buy. If the person is really pushy then no choice don’t waste your time.Allison Chan21 Jun 2019I totally agree"
7,"Jennifer GohLevel 4. ProdigyAnswered on 14 Jun 2019While a straight no is the most effective way to cut the topic short, I can imagine the rest of the conversation will be quite awkward...In that case...Indirect no...by saying something like 'you need some time to think about investing an insurance as you've some other responsibilities and priorities...'If he/she persists, they're not respecting the friendship and they don't deserve your time coz a true friend will understand and stop bugging you about it :)0 comments6"
8,"Charmaine Ng, The Value Maximizer at @ Every Ma La Xiang Guo StallLevel 6. MasterUpdated on 15 Jun 2019Since you already know you have no intention to switch; just tell him straight no that at this stage you have no intention to switch and that you'd like to keep it that way. If he tries relentlessly, let him know what products you have and ask him for his recommendations. If his recommendations truly help to complement your current portfolio; consider it. If it doesn't and/or is just asking you to switch over for sake of his sales, decline and tell him that you value him as a friend and would like to help but no because he doesn't value you likewise.He should stop bothering you after that.0 comments3"
