,content
question,"Investments Trading Asked by AnonymousAsked on 27 Jun 2019What app or software you guys are using to trade locally?Hi, i am new to trading and was wondering which app is good to trade with low fees and is easy to use1 answerAnswerBump0"
0,Answers (1)Sort By Most UpvoteMost UpvoteMost Recent
1,"Gabriel Tham, Tag Team Member at Kenichi Tag TeamLevel 8. WizardAnswered on 27 Jun 2019I am using a few.POEMS/PhilipsDBS VickersStandard Chartered online tradingMy suggestion is, go open the account first, try out the platform, no need put money yet. See which UI and function you like. Some ppl prefer simple UI, some prefer complex functions, some may prefer color schemes etc0 comments0"
