,content
question,Lifestyle Asked by Leong Wen FongAsked on 31 Oct 2018What is the best thing you ever bought or spent money on that was less than $30?2 answersAnswerBump1
0,Answers (2)Sort By Most UpvoteMost UpvoteMost Recent
1,"Hariz Arthur Maloy, Independent Financial Advisor at Promiseland IndependentTop Contributor (Sep)Level 9. God of WisdomUpdated on 07 Jun 2019A comedy show. :) 2 comments3"
2,Leong Wen Fong31 Oct 2018what comedy show was it? Was it like stand up?Hariz Arthur Maloy31 Oct 2018Yeah stand up. At Blu Jaz. :) Captain Khalid's set. 
3,"Kenneth Lou, Co-founder at SeedlyLevel 8. WizardAnswered on 31 Oct 2018My Nalgene 1L water bottle. Under appreciated but I use it every single day! Which cost $20.0 comments1"
