,content
question,Lifestyle Asked by AnonymousAsked on 22 Nov 2018What is needed to become PR in Singapore?1 answerAnswerBump0
0,Answers (1)Sort By Most UpvoteMost UpvoteMost Recent
1,"Lok Yang TengLevel 6. MasterAnswered on 22 Nov 2018 If you are a foreigner and able to satisfy one of the following, usually those with young kids are at advantageSpouse and unmarried children (below 21 years old) of a Singapore Citizen (SC)/Permanent Resident (SPR);Aged parents of a Singapore Citizen;P, Q or S work pass holders working in Singapore;Investors/Entrepreneurs;0 comments0"
