,content
question,"PFF Panel 3 PFF Panel 2 Robo-Advisors Investments Seedly PFF 2019 Asked by AnonymousAsked on 02 Mar 2019If you had $1200 yearly to save/invest for your 18 months baby for her education, what would u invest in (robo?, DCA ETF S&P500?, kid’s CPF via VC?)?1 answerAnswerBump2"
0,Answers (1)Sort By Most UpvoteMost UpvoteMost Recent
1,"Png Cheng Xi Damien, Happy Life Seeker at HomeLevel 4. ProdigyAnswered on 18 Jun 2019Which level of education are you refering to? For university, you'll have around 18 years to accumulate. While many of those here are against this, I think that an endowment plan would actually suit you. Those longer than 15 years usually gives yield of around 3% p.a. compounded.Everything else has to depend on your risk appetite as those are investments.0 comments0"
