,post_id,username,username_count,level,rank
2775,1059,Aik Kai,1,6,Master 
2776,1059,Jeff Yeo,1,6,Master 
2777,1059,Jonathan Chia Guangrong,1,6,Master 
2778,1060,Elijah Lee,1,9,God of Wisdom 
2779,1061,Elijah Lee,1,9,God of Wisdom 
2780,1061,Aik Kai,1,6,Master 
2781,1062,Pat,1,4,Prodigy 
2782,1063,Cherie Julianne Tan,1,6,Master 
2783,1063,Gabriel Tham,1,8,Wizard 
2784,1064,Pat,1,4,Prodigy 
2785,1064,Justin Kieran Ong,1,3,Wonderkid 
2786,1065,Cheryl Teng Sze Hui,1,3,Wonderkid 
2787,1066,Pat,1,4,Prodigy 
2788,1067,Cedric Jamie Soh,1,7,Grand Master
2789,1068,Yong Kah Hwee,1,6,Master 
2790,1068,Huang Yixuan,1,6,Master 
2791,1069,Sarah Chan,1,6,Master 
2792,1069,Clarence Chua,1,7,Grand Master 
2793,1070,Aik Kai,1,6,Master 
2794,1070,Ang Yee Gary,1,4,Prodigy 
2795,1070,Tays Ooi,1,1,Freshie 
2796,1071,Pierre Teo,1,3,Wonderkid 
2797,1072,Loh Tat Tian,1,6,Master 
2798,1073,Sarah Chan,1,6,Master 
2799,1073,Aik Kai,1,6,Master 
2800,1073,Jeff Yeo,1,6,Master 
2801,1073,MMark,1,3,Wonderkid 
2802,1074,Jasmine Tsoi,1,3,Wonderkid 
2803,1074,Dexter Tiah,1,3,Wonderkid
2804,1074,Kenneth Lou,1,8,Wizard 
2805,1075,Kenneth Lou,1,8,Wizard 
2806,1076,Sarah Chan,1,6,Master 
2807,1076,Ronald Szie,1,4,Prodigy 
2808,1076,Glenn Toh,1,4,Prodigy 
2809,1076,Ching Li Chew,1,3,Wonderkid 
2810,1077,Yinghua Liu,1,4,Prodigy 
2811,1077,Aik Kai,1,6,Master 
2812,1078,BLBrian Lee,1,3,Wonderkid 
2813,1079,Yinghua Liu,1,4,Prodigy 
2814,1080,HC Tang,1,8,Wizard 
2815,1080,Cedric Jamie Soh,1,7,Grand Master 
2816,1080,Gabriel Tham,1,8,Wizard 
2817,1080,Chris Chin,1,4,Prodigy 
2818,1080,Tang Ching Pang,1,4,Prodigy 
2819,1080,Nikhil Nicholas D,1,2,Rookie 
2820,1080,Ronald Szie,1,4,Prodigy 
2821,1080,As Df,1,3,Wonderkid 
2822,1080,Png Cheng Xi Damien,1,4,Prodigy 
2823,1080,Jasmine Chye Fong Yee,1,3,Wonderkid 
2824,1080,Cherie Julianne Tan,1,6,Master 
2825,1081,Clarence Chua,1,7,Grand Master 
2826,1081,Vincent Tan Wen Bin,1,5,Genius 
2827,1081,HC Tang,1,8,Wizard 
2828,1082,Aik Kai,1,6,Master 
2829,1082,Jonathan Chia Guangrong,1,6,Master 
2830,1083,Kenneth Lou,1,8,Wizard 
2831,1083,HC Tang,1,8,Wizard 
2832,1083,Charmaine Ng,1,6,Master 
2833,1083,Junus Eu,1,8,Wizard 
2834,1083,Jeff Yeo,1,6,Master 
2835,1083,Shun Oh,1,3,Wonderkid 
2836,1084,Gabriel Lee,1,6,Master 
2837,1084,Png Cheng Xi Damien,1,4,Prodigy 
2838,1085,Gabriel Lee,1,6,Master 
2839,1085,HC Tang,1,8,Wizard 
2840,1086,Benuel Ganesan,1,2,Rookie 
2841,1087,YY Yin Yu,1,3,Wonderkid 
2842,1087,Liew Ming Qiang,1,3,Wonderkid 
2843,1087,Qinghui Chua,1,3,Wonderkid 
2844,1087,HC Tang,1,8,Wizard 
2845,1087,Rave Ong Ci De,1,5,Genius 
2846,1087,Isabella Jo,1,4,Prodigy 
2847,1087,Chris Chin,1,4,Prodigy 
2848,1087,Steph Yeo,1,5,Genius 
2849,1087,Hannah Foo,1,3,Wonderkid 
2850,1087,Gabriel Tham,1,8,Wizard 
2851,1087,Ck Chai,1,4,Prodigy 
2852,1087,Kenneth Lou,1,8,Wizard 
2853,1088,YY Yin Yu,1,3,Wonderkid 
2854,1088,Gabriel Tham,1,8,Wizard 
2855,1089,HC Tang,1,8,Wizard 
2856,1090,Heng Kai Le,1,4,Prodigy 
2857,1090,Gabriel Lee,1,6,Master 
2858,1090,Jonathan Ng,1,5,Genius 
2859,1090,William Ng,1,2,Rookie 
2860,1090,Benedict Lim,1,3,Wonderkid 
2861,1091,Yinghua Liu,1,4,Prodigy 
2862,1091,Zen Rogue Xuan,1,5,Genius 
2863,1092,Cedric Jamie Soh,1,7,Grand Master 
2864,1092,Eric Chia,1,4,Prodigy 
2865,1092,Cherie Julianne Tan,1,6,Master 
2866,1093,Yinghua Liu,1,4,Prodigy 
2867,1094,Edison Pua,1,3,Wonderkid 
2868,1094,Aik Kai,1,6,Master 
2869,1094,Yong Kah Hwee,1,6,Master 
2870,1095,KAKelvin Ang,1,3,Wonderkid 
2871,1095,Henry Hoe Yong Zhi,1,3,Wonderkid 
2872,1095,Rajesh Govindarajan,1,1,Freshie 
2873,1096,Gabriel Tham,1,8,Wizard 
2874,1097,HC Tang,1,8,Wizard 
2875,1097,Jeff Yeo,1,6,Master 
2876,1097,Eric Chia,1,4,Prodigy 
2877,1098,Glenn Toh,1,4,Prodigy 
2878,1099,Yixiong Chang,1,5,Genius 
2879,1099,Lok Yang Teng,1,6,Master 
2880,1100,Junus Eu,1,8,Wizard 
2881,1100,Gabriel Lee,1,6,Master 
2882,1100,Vincent Tan,1,1,Freshie 
2883,1100,Isabella Jo,1,4,Prodigy 
2884,1100,Charmaine Ng,1,6,Master 
2885,1101,SWShaun Wq Lim,1,4,Prodigy 
2886,1102,Cedric Jamie Soh,1,7,Grand Master
2887,1103,Alex Ng,1,1,Freshie 
2888,1104,Daniel,1,2,Rookie 
2889,1105,Lee Wei,1,2,Rookie 
2890,1106,Junus Eu,1,8,Wizard 
2891,1106,Kenneth Chan,1,4,Prodigy 
2892,1106,Aik Kai,1,6,Master 
2893,1106,Gabriel Tham,1,8,Wizard 
2894,1107,Vincent Tan Wen Bin,1,5,Genius 
2895,1107,Aik Kai,1,6,Master 
2896,1108,Lok Yang Teng,1,6,Master 
2897,1109,Lok Yang Teng,1,6,Master 
2898,1110,Daniel Lee,1,4,Prodigy 
2899,1110,Tiffany SQ,1,3,Wonderkid 
2900,1110,HC Tang,1,8,Wizard 
2901,1110,Serene Toh,1,5,Genius 
2902,1110,Good Day Every Day,1,6,Master 
2903,1110,Jeff Yeo,1,6,Master 
2904,1110,Tina Sharon Lee,1,3,Wonderkid 
2905,1110,Yong Kah Hwee,1,6,Master 
2906,1111,Lok Yang Teng,1,6,Master 
2907,1111,Loh Tat Tian,1,6,Master 
2908,1111,Casey Choo,1,3,Wonderkid 
2909,1112,Loh Tat Tian,1,6,Master
2910,1114,Kenneth Lou,1,8,Wizard 
2911,1115,Aik Kai,1,6,Master
2912,1115,Gabriel Choo,1,3,Wonderkid
2913,1116,NNinja,1,3,Wonderkid
2914,1117,Kenneth Lou,1,8,Wizard 
2915,1118,Sarah Chan,1,6,Master 
2916,1118,Billy Ko,1,6,Master 
2917,1118,Simon Kwok,1,1,Freshie 
2918,1119,Aik Kai,1,6,Master 
2919,1119,LLola,1,1,Freshie 
2920,1120,Daniel,1,2,Rookie 
2921,1121,Steph Yeo,1,5,Genius 
2922,1121,Phyllis Poon,1,2,Rookie 
2923,1122,Javier Lim,1,5,Genius 
2924,1122,Siow Nan,1,6,Master 
2925,1123,Sarah Chan,1,6,Master 
2926,1124,Elijah Lee,1,9,God of Wisdom
2927,1124,Aik Kai,1,6,Master
2928,1125,Jonathan Chia Guangrong,1,6,Master 
2929,1126,Elijah Lee,1,9,God of Wisdom 
2930,1126,Aik Kai,1,6,Master 
2931,1127,Aik Kai,1,6,Master 
2932,1128,Aik Kai,1,6,Master 
2933,1129,Glenn Toh,1,4,Prodigy 
2934,1129,Junus Eu,1,8,Wizard 
2935,1129,Wilfred HO,1,1,Freshie 
2936,1129,Lim Chun Long Jimmy,1,5,Genius 
2937,1129,Siow Nan,1,6,Master 
2938,1129,Eric Chia,1,4,Prodigy 
